284,153,37,1
276,69,55,1
193,44,65,1
277,161,48,1
274,76,1,1
189,69,15,1
71,135,87,1
104,115,18,1
156,135,15,1
0,135,15,1
100,17,1,1
71,135,84,1
295,46,73,1
94,37,23,1
234,13,0,1
272,161,22,1
70,127,85,1
255,161,21,1
255,17,70,1
239,118,15,1
193,123,22,1
236,115,16,1
47,110,18,1
67,115,19,1
0,17,88,1
58,139,34,1
104,114,15,1
255,17,64,1
5,118,1,1
131,135,64,1
204,19,0,1
156,111,37,1
208,75,1,1
87,3,64,1
281,70,0,1
253,61,4,1
282,170,24,1
193,110,78,1
233,124,23,1
253,61,23,1
116,11,26,1
232,137,1,1
71,26,18,1
156,135,64,1
71,26,31,1
298,161,36,1
137,73,145,1
114,161,37,1
255,61,24,1
172,163,37,1
208,46,26,1
267,151,1,1
274,69,42,1
147,101,1,1
47,123,61,1
26,9,1,1
255,161,26,1
126,161,35,1
272,161,58,1
296,60,0,1
205,17,7,1
5,135,69,1
255,17,19,1
205,14,34,1
256,11,22,1
219,153,1,1
196,26,92,1
59,61,22,1
286,17,29,1
274,69,39,1
260,114,26,1
292,61,37,1
272,161,21,1
256,161,14,1
71,135,17,1
265,83,0,1
33,44,34,1
255,133,81,1
189,69,35,1
119,105,39,1
172,153,64,1
193,58,67,1
205,17,67,1
257,117,69,1
154,45,68,1
173,24,15,1
0,135,85,1
226,135,88,1
166,83,0,1
273,17,19,1
228,115,18,1
71,135,69,1
151,63,34,1
204,95,16,1
272,161,38,1
193,58,73,1
260,93,39,1
255,118,26,1
189,76,0,1
0,111,0,1
276,69,31,1
5,135,43,1
153,19,22,1
205,14,31,1
113,17,15,1
52,101,20,1
193,58,141,1
165,12,0,1
67,115,18,1
295,135,65,1
100,17,4,1
212,73,68,1
24,159,37,1
167,153,22,1
47,110,80,1
264,134,0,1
276,69,28,1
172,135,26,1
295,100,65,1
253,61,30,1
225,135,15,1
166,85,71,1
159,101,1,1
252,7,66,1
260,24,31,1
276,69,32,1
34,134,67,1
136,99,1,1
144,17,31,1
156,111,71,1
117,17,120,1
101,17,7,1
274,69,24,1
272,27,0,1
6,17,31,1
120,30,65,1
71,135,64,1
208,75,4,1
204,55,28,1
150,161,26,1
297,137,17,1
244,79,0,1
298,161,23,1
295,135,90,1
47,110,67,1
33,44,37,1
114,161,25,1
33,58,67,1
281,70,12,1
100,17,65,1
284,173,1,1
87,3,71,1
100,17,89,1
240,153,27,1
59,61,31,1
47,44,73,1
225,135,88,1
220,52,16,1
284,19,1,1
0,135,92,1
256,65,1,1
11,73,16,1
71,29,1,1
279,83,22,1
255,61,75,1
71,86,4,1
12,17,38,1
242,95,15,1
179,40,26,1
200,17,67,1
47,44,31,1
120,26,23,1
253,69,150,1
156,135,92,1
276,69,0,1
253,53,15,1
188,153,22,1
274,69,31,1
166,85,31,1
103,161,45,1
172,135,65,1
172,24,15,1
175,75,1,1
220,52,1,1
255,161,54,1
7,82,31,1
295,115,31,1
71,135,90,1
258,95,37,1
219,153,116,1
255,161,38,1
104,46,1,1
281,88,26,1
282,160,45,1
207,19,1,1
193,44,113,1
253,69,0,1
281,70,6,1
120,3,65,1
204,55,0,1
47,44,87,1
0,118,64,1
255,161,46,1
260,9,23,1
200,17,1,1
234,13,15,1
